Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Drive yourself.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,3:00 PM,08:05 AM,1,Sometimes im just 5 minutes late i arrive (8:05) and the parking is already full and i have to park in other gates and walk long distances,No.,,,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,2:00 PM,Yes.,9:30 AM,12:00 PM,Yes.,8:00 AM,12:30 PM,09:00 AM,2,,No.,,,Yes.,8:00 AM,1:30 PM
Driver.,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,2:00 PM,Yes.,7:30 AM,12:00 PM,09:00 AM,1,,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,2:30 PM
Driver.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,12:00 PM,09:00 AM,1,,No.,,,Yes.,8:00 AM,3:00 PM
Driver.,Yes.,7:30 AM,12:00 PM,No.,,,Yes.,7:30 AM,2:00 PM,09:00 AM,1,,No.,,,Yes.,7:30 AM,12:00 PM
Driver.,Yes.,8:00 AM,1:30 PM,No.,,,Yes.,7:30 AM,12:00 PM,09:00 AM,2,,No.,,,Yes.,8:00 AM,11:30 AM
Driver.,Yes.,10:00 AM,2:00 PM,No.,,,Yes.,10:00 AM,2:00 PM,09:00 AM,1,,Yes.,8:00 AM,12:00 PM,Yes.,10:00 AM,2:00 PM
Drive yourself.,Yes.,9:30 AM,2:00 PM,Yes.,9:30 AM,4:00 PM,Yes.,8:00 AM,2:00 PM,09:00 PM,1,Difficulty in finding parking spots anytime past 8am.,Yes.,8:00 AM,3:00 PM,Yes.,8:30 AM,2:00 PM
Driver.,Yes.,8:00 AM,2:30 PM,No.,,,Yes.,8:00 AM,2:30 PM,09:00 PM,2,,No.,,,Yes.,8:00 AM,12:00 PM
Driver.,Yes.,8:00 AM,2:00 PM,Yes.,8:00 AM,11:00 AM,Yes.,8:00 AM,12:00 PM,09:00 PM,4,الحل للمواقف محد يدخل الا معه بطاقة جامعية,Yes.,8:00 AM,11:00 AM,Yes.,8:00 AM,11:00 AM
Driver.,Yes.,8:00 AM,12:00 PM,No.,,,Yes.,8:00 AM,2:00 PM,09:00 PM,1,,No.,,,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,12:30 PM,09:00 AM,1,,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,12:30 PM
Driver.,Yes.,8:00 AM,4:00 PM,Yes.,8:30 AM,2:30 PM,Yes.,9:30 AM,4:00 PM,09:00 AM,4,,Yes.,9:30 AM,2:30 PM,Yes.,9:30 AM,2:00 PM
Driver.,Yes.,9:00 AM,1:30 PM,Yes.,8:00 AM,1:30 PM,Yes.,9:00 AM,12:00 PM,09:00 AM,3,,No.,,,Yes.,9:00 AM,2:00 PM
Driver.,Yes.,9:00 AM,2:00 PM,Yes.,8:00 AM,2:00 PM,Yes.,9:00 AM,2:00 PM,09:00 AM,5,,Yes.,8:00 AM,12:00 PM,Yes.,9:00 AM,12:00 PM
Driver.,Yes.,8:30 AM,3:00 PM,Yes.,7:30 AM,12:00 PM,Yes.,8:30 AM,1:30 PM,09:00 AM,2,,Yes.,9:30 AM,12:00 PM,Yes.,8:30 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,Yes.,7:00 AM,2:00 PM,Yes.,8:00 AM,2:00 PM,08:00 AM,2,,Yes.,8:00 AM,2:00 PM,Yes.,8:00 AM,2:00 PM
Driver.,Yes.,10:00 AM,4:00 PM,Yes.,10:30 AM,4:00 PM,Yes.,11:00 AM,4:00 PM,08:00 AM,3,,Yes.,1:00 PM,4:00 PM,Yes.,11:00 AM,4:00 PM
Drive yourself.,Yes.,7:30 AM,1:00 PM,Yes.,7:30 AM,3:30 PM,Yes.,7:30 AM,12:00 PM,08:00 AM,1,مظلات المواقف مهمه جدًا اتمنى تصير متوفره نفس قسم الرجال.,Yes.,7:30 AM,3:30 PM,Yes.,7:30 AM,3:30 PM
Driver.,Yes.,6:30 AM,12:00 PM,Yes.,6:30 AM,2:00 PM,Yes.,6:30 AM,12:00 PM,08:00 AM,3,,Yes.,6:30 AM,2:30 PM,Yes.,6:30 AM,12:00 PM
Driver.,Yes.,8:00 AM,3:30 PM,Yes.,8:00 AM,3:30 PM,Yes.,8:30 AM,3:30 PM,08:00 AM,5,,Yes.,8:00 AM,3:30 PM,Yes.,8:00 AM,3:30 PM
Drive yourself.,Yes.,7:00 AM,2:00 PM,Yes.,7:00 AM,10:00 AM,Yes.,7:00 AM,1:30 PM,08:00 AM,1,,No.,,,Yes.,7:00 AM,11:00 AM
